stt,text
1,"Việt Nam là quê hương của Hang Sơn Đoòng, hang động lớn nhất thế giới, rộng đến mức có thể chứa vừa một tòa nhà chọc trời 40 tầng."
2,"Họ Nguyễn là họ phổ biến nhất ở Việt Nam, chiếm khoảng 40% dân số. Đây là điều hiếm thấy ở hầu hết các quốc gia."
3,"Đồng tiền tệ chính thức của Việt Nam là Đồng, viết tắt là VND. Mệnh giá giấy nhỏ nhất còn lưu hành là 500 đồng."
4,"Cà phê trứng là một đặc sản nổi tiếng của Hà Nội, được làm từ lòng đỏ trứng gà đánh bông với đường và cà phê. Vị béo ngậy rất đặc trưng."
5,"Việt Nam là nước xuất khẩu hạt điều lớn nhất thế giới, chiếm hơn một nửa sản lượng toàn cầu. Hạt điều Việt Nam nổi tiếng với chất lượng cao."
6,"Thủ đô của Việt Nam là Hà Nội, nhưng thành phố lớn nhất và đông dân nhất lại là Thành phố Hồ Chí Minh."
7,"Ngôn ngữ Tiếng Việt có sáu thanh điệu, làm cho việc học phát âm trở nên khó khăn đối với người nước ngoài muốn thông thạo."
8,"Món Phở và Bánh mì của Việt Nam đã được đưa vào từ điển Oxford, cho thấy sự phổ biến toàn cầu của ẩm thực Việt."
9,"Áo dài là trang phục truyền thống của phụ nữ Việt Nam, thường được mặc trong các dịp lễ quan trọng, Tết, hoặc tại các trường học."
10,"Trên Quốc kỳ Việt Nam, một ngôi sao vàng nằm giữa nền đỏ, tượng trưng cho sự đoàn kết của các tầng lớp nhân dân trong công cuộc xây dựng đất nước."
11,"Vịnh Hạ Long ở Quảng Ninh được UNESCO công nhận là Di sản Thiên nhiên Thế giới, nổi tiếng với gần 2000 hòn đảo đá vôi lớn nhỏ."
12,"Ở Việt Nam có khoảng 77 triệu xe máy đã được đăng ký. Xe máy là phương tiện giao thông phổ biến và linh hoạt nhất trong đời sống hàng ngày."
13,"Tết Nguyên Đán là lễ hội quan trọng nhất trong năm của người Việt, dựa trên lịch âm và thường diễn ra vào cuối tháng Giêng hoặc đầu tháng Hai."
14,"Múa rối nước là một loại hình nghệ thuật dân gian độc đáo của Việt Nam, được biểu diễn trên mặt nước và điều khiển bằng dây, gậy."
15,"Việt Nam là nước xuất khẩu cà phê lớn thứ hai trên thế giới, chỉ sau Brazil. Cà phê Robusta là loại được trồng phổ biến nhất."
16,"Mặc dù là quốc gia nhiệt đới, nhưng một số vùng núi cao phía Bắc Việt Nam như Sa Pa vẫn có thể có tuyết rơi vào mùa đông."
17,"Đèo Hải Vân là một trong những cung đường ven biển đẹp nhất thế giới, nối liền Đà Nẵng và Huế, với biệt danh là Thiên hạ đệ nhất hùng quan."
18,"Rắn hổ mang có thể dài tới 5.5 mét, khiến nó trở thành loài rắn độc dài nhất trên thế giới hiện nay."
19,"Ở các tỉnh miền Tây Nam Bộ Việt Nam, chợ nổi là một nét văn hóa đặc sắc, nơi người dân trao đổi mua bán hàng hóa ngay trên sông."
20,"Tòa nhà Landmark 81 tại TP. Hồ Chí Minh là một trong những tòa nhà cao nhất Đông Nam Á, thể hiện sự phát triển nhanh chóng của kiến trúc Việt Nam."
21,"Chim ruồi là loài chim duy nhất có thể bay lùi lại, một khả năng đặc biệt giúp chúng lấy mật hoa dễ dàng hơn."
22,"Con người dành khoảng một phần ba cuộc đời để ngủ. Điều này rất quan trọng để cơ thể phục hồi và củng cố trí nhớ."
23,"Tốc độ ánh sáng trong chân không là 299.792.458 mét mỗi giây, không có gì có thể di chuyển nhanh hơn vận tốc này."
24,"Bức tường thành lớn nhất lịch sử là Vạn Lý Trường Thành của Trung Quốc, có chiều dài hơn 21.000 km."
25,"Lưỡi của cá voi xanh có thể nặng bằng một con voi trưởng thành, cho thấy kích thước khổng lồ của loài động vật này."
26,"Bột Talcum được làm từ một loại khoáng chất mềm nhất trên Trái Đất, có thể cạo ra bằng móng tay."
27,"Sao Mộc là hành tinh lớn nhất trong Hệ Mặt Trời, khối lượng của nó lớn hơn tổng khối lượng của tất cả các hành tinh còn lại cộng lại."
28,"Hồ Hoàn Kiếm, hay Hồ Gươm, ở Hà Nội gắn liền với truyền thuyết vua Lê Lợi trả gươm thần cho Rùa Vàng."
29,"Người Việt Nam thường sử dụng họ của mình trước tên riêng, khác với cách gọi của nhiều quốc gia phương Tây."
30,"Cá sấu không thể thè lưỡi ra khỏi miệng, vì lưỡi của chúng gắn liền với đáy khoang miệng."
31,"Môn thể thao phổ biến nhất ở Việt Nam là bóng đá. Các trận đấu của đội tuyển quốc gia luôn thu hút lượng lớn cổ động viên."
32,"Đà Lạt được mệnh danh là thành phố ngàn hoa và là nơi có khí hậu ôn hòa, mát mẻ quanh năm."
33,"Bánh chưng và Bánh tét là hai món ăn truyền thống không thể thiếu trong dịp Tết Nguyên Đán của người Việt."
34,"Hà Nội có 36 phố phường, mỗi phố thường bán một loại mặt hàng đặc trưng như Hàng Bạc, Hàng Mã, Hàng Gai."
35,"Núi Fansipan ở Sa Pa, với độ cao 3.143 mét, được mệnh danh là Nóc nhà Đông Dương."
36,"Việt Nam giáp với ba quốc gia là Trung Quốc ở phía Bắc, Lào và Campuchia ở phía Tây."
37,"Cây tre là biểu tượng của tinh thần bất khuất, dẻo dai và kiên cường của người dân Việt Nam qua nhiều thế kỷ."
38,"Phú Quốc, hòn đảo lớn nhất Việt Nam, nổi tiếng với những bãi biển tuyệt đẹp và nghề nuôi cấy ngọc trai."
39,"Thành phố cổ Hội An là Di sản Văn hóa Thế giới với những ngôi nhà mái ngói rêu phong và đèn lồng rực rỡ."
40,"Lá cờ Việt Nam hiện tại đã được thông qua vào năm 1955, với ngôi sao vàng 5 cánh tượng trưng cho công nhân, nông dân, binh sĩ, trí thức và thanh niên."
41,"Chim cánh cụt hoàng đế có thể lặn sâu tới 565 mét dưới mặt nước và nín thở hơn 20 phút."
42,"Nước nóng đóng băng nhanh hơn nước lạnh, hiện tượng này được gọi là hiệu ứng Mpemba, dù cơ chế chính xác vẫn còn gây tranh cãi."
43,"Thành phố New York từng được đặt tên là New Amsterdam, khi nó là thuộc địa của người Hà Lan."
44,"Mật ong là thực phẩm duy nhất không bao giờ bị hỏng. Người ta đã tìm thấy mật ong còn nguyên vẹn trong các lăng mộ cổ Ai Cập."
45,"Món Bún chả nổi tiếng của Hà Nội đã được cựu Tổng thống Mỹ Barack Obama thưởng thức trong chuyến thăm năm 2016."
46,"Kim tự tháp Giza ở Ai Cập là công trình cổ đại duy nhất còn sót lại trong Bảy Kỳ quan Thế giới cổ đại."
47,"Bản giao hưởng số 5 của Beethoven nổi tiếng với bốn nốt nhạc mở đầu đầy kịch tính: ta-ta-ta-TÙM."
48,"Động vật có vú duy nhất biết bay là dơi. Chúng sử dụng sóng siêu âm để định vị trong không gian tối."
49,"Khoảng 90% dân số thế giới sống ở Bán cầu Bắc, nơi có phần lớn diện tích đất liền của Trái Đất."
50,"Đại dương lớn nhất và sâu nhất trên Trái Đất là Thái Bình Dương, chiếm gần một nửa diện tích mặt nước toàn hành tinh."
51,"Việt Nam có một trong những đường bờ biển dài nhất thế giới, với hơn 3.260 km, chưa kể các đảo lớn nhỏ."
52,"Năm 1975, Sài Gòn chính thức được đổi tên thành Thành phố Hồ Chí Minh, theo tên vị Chủ tịch đầu tiên của nước Việt Nam Dân chủ Cộng hòa."
53,"Đền Hùng ở Phú Thọ là nơi thờ cúng các vị Vua Hùng, tổ tiên của dân tộc Việt Nam, với lễ hội lớn vào mùng 10 tháng 3 âm lịch."
54,"Thành Nhà Hồ ở Thanh Hóa là một công trình kiến trúc quân sự bằng đá độc đáo, được UNESCO công nhận là Di sản Văn hóa Thế giới."
55,"Quy tắc cơ bản của cờ vua là Vua không bao giờ được phép đi vào vị trí bị chiếu, còn được gọi là chiếu hết."
56,"Các nhà khoa học ước tính có khoảng 3 nghìn tỷ cây xanh trên Trái Đất, với vai trò quan trọng trong việc tạo ra oxy."
57,"Hành tinh Sao Kim quay quanh trục của nó theo chiều kim đồng hồ, ngược lại với hầu hết các hành tinh khác trong hệ mặt trời."
58,"Cầu Long Biên bắc qua sông Hồng ở Hà Nội được thiết kế bởi kiến trúc sư Gustave Eiffel, người thiết kế tháp Eiffel ở Paris."
59,"Việt Nam có 54 dân tộc anh em, mỗi dân tộc có những nét văn hóa, trang phục và ngôn ngữ riêng biệt."
60,"Nha Trang, thành phố biển nổi tiếng, được biết đến là thủ đô lặn biển của Việt Nam với nhiều rạn san hô tuyệt đẹp."
61,"Một ngày trên Sao Kim dài hơn một năm của nó, vì nó quay quanh trục rất chậm, trong khi quỹ đạo quanh Mặt Trời lại ngắn."
62,"Băng khô là dạng rắn của khí Carbon Dioxide, khi tan chảy nó chuyển trực tiếp thành khí mà không qua trạng thái lỏng."
63,"Trung bình mỗi người dành khoảng 6 tháng cuộc đời để chờ đèn giao thông chuyển sang màu xanh."
64,"Bột cacao được sử dụng như một loại tiền tệ bởi người Maya và Aztec cổ đại. Nó được coi là một tài sản quý giá."
65,"Thỏ và vẹt có thể nhìn thấy mà không cần quay đầu, nhờ vào vị trí mắt nằm ở hai bên đầu của chúng."
66,"Kim loại nhẹ nhất trên Trái Đất là Lithium. Nó thường được sử dụng trong pin sạc và hợp kim máy bay."
67,"Tiếng vang to nhất từng được ghi nhận là tiếng phun trào của núi lửa Krakatoa vào năm 1883, nghe thấy được ở cách đó hơn 3.000 dặm."
68,"Đền Ngọc Sơn ở Hà Nội nằm trên một hòn đảo nhỏ của Hồ Hoàn Kiếm và được nối với bờ bằng cầu Thê Húc màu đỏ son."
69,"Trong ẩm thực Việt Nam, nước mắm là một loại gia vị thiết yếu, được làm từ cá và muối ủ lên men trong nhiều tháng."
70,"Mũ lá, hay nón lá, là vật dụng quen thuộc của người dân Việt Nam, dùng để che nắng, che mưa và là một biểu tượng văn hóa."
71,"Động vật đầu tiên được đưa lên vũ trụ là một con chó tên Laika, trong chuyến bay Sputnik 2 của Liên Xô vào năm 1957."
72,"Cá mập đã tồn tại trên Trái Đất lâu hơn cả khủng long, với hóa thạch cổ nhất được tìm thấy khoảng 400 triệu năm tuổi."
73,"Tấm gương được tìm thấy trong mộ vua Tutankhamun của Ai Cập được làm bằng đồng đã được đánh bóng sáng loáng."
74,"Lá phổi của con người có diện tích bề mặt khoảng 70 mét vuông, gần bằng một nửa sân tennis thông thường."
75,"Bộ não của con người sử dụng khoảng 20% lượng oxy và calo mà cơ thể tiêu thụ, dù nó chỉ chiếm 2% trọng lượng cơ thể."
76,"Đại học Harvard ở Mỹ được thành lập trước cả khi kính viễn vọng ra đời, vào năm 1636."
77,"Hà Giang, tỉnh cực bắc Việt Nam, nổi tiếng với Cao nguyên đá Đồng Văn và những cung đường đèo hiểm trở, ngoạn mục."
78,"Hoa sen là Quốc hoa của Việt Nam. Nó tượng trưng cho sự thanh cao, thuần khiết và kiên cường vượt lên bùn lầy."
79,"Đà Nẵng có biệt danh là thành phố đáng sống nhất Việt Nam, nổi tiếng với bãi biển Mỹ Khê và cầu Rồng phun lửa."
80,"Việt Nam đã trải qua hơn 1000 năm Bắc thuộc dưới sự cai trị của các triều đại phong kiến phương Bắc trước khi giành lại độc lập."
81,"Trên Sao Hỏa, mặt trời xuất hiện với màu xanh lam khi lặn, do sự phân tán của ánh sáng qua bầu khí quyển mỏng."
82,"Nếu bạn tháo hết các phân tử nước ra khỏi cơ thể, bạn sẽ còn lại một lượng Carbon đủ để tạo ra 9000 cây bút chì."
83,"Trái Đất quay quanh Mặt Trời với tốc độ khoảng 107.000 km/h, một tốc độ không thể tưởng tượng được."
84,"Bảo tàng Louvre ở Paris từng là một pháo đài. Nó chỉ được mở thành bảo tàng vào năm 1793."
85,"Chữ số La Mã không có số 0. Số 0 được phát minh ở Ấn Độ và du nhập vào châu Âu sau này."
86,"Voi là loài động vật có vú duy nhất không thể nhảy. Chúng luôn giữ ít nhất một chân trên mặt đất khi di chuyển."
87,"Việt Nam là nhà sản xuất hạt tiêu đen lớn nhất thế giới, vượt qua cả Ấn Độ và Brazil về sản lượng."
88,"Sông Mê Kông, chảy qua nhiều nước Đông Nam Á, đổ ra Biển Đông qua 9 cửa ở Việt Nam, tạo thành vùng Đồng bằng sông Cửu Long trù phú."
89,"Thành phố cổ Huế, từng là kinh đô của nhà Nguyễn, nổi tiếng với Quần thể di tích Cố đô Huế và lăng tẩm hoàng gia."
90,"Trống đồng Đông Sơn là một biểu tượng quan trọng của Văn hóa Đông Sơn, thể hiện trình độ đúc đồng cao của người Việt cổ."
91,"Cóc có thể sống tới 40 năm. Chúng có tuổi thọ khá dài so với các loài lưỡng cư khác."
92,"Tấm kính trong suốt lâu đời nhất được tìm thấy có niên đại từ khoảng năm 7000 TCN tại Thổ Nhĩ Kỳ."
93,"Người Ai Cập cổ đại đã sử dụng chim bồ câu để gửi thư, một trong những hình thức truyền tin sớm nhất."
94,"Hà mã có mồ hôi màu đỏ, mặc dù không phải là máu, nhưng nó có tác dụng như kem chống nắng và kháng khuẩn."
95,"Mỗi năm, Mặt Trăng di chuyển xa Trái Đất hơn khoảng 3.8 cm. Quỹ đạo của nó đang dần mở rộng."
96,"Lỗ đen lớn nhất từng được phát hiện nặng gấp 40 tỷ lần khối lượng Mặt Trời của chúng ta."
97,"Bàn chải đánh răng được phát minh trước kính hiển vi. Bàn chải hiện đại ra đời năm 1780."
98,"Võ cổ truyền Việt Nam, hay Võ thuật cổ truyền, là một hệ thống võ đạo đa dạng với nhiều môn phái lâu đời."
99,"Món gỏi cuốn là một món ăn thanh mát nổi tiếng của Việt Nam, thường được ăn kèm với nước chấm tương đậu."
100,"Phụ nữ Việt Nam truyền thống thường đội nón lá và mang quang gánh khi đi chợ hoặc làm đồng."
101,"Bảo tàng Dân tộc học Việt Nam ở Hà Nội trưng bày các hiện vật về đời sống, văn hóa của 54 dân tộc."
102,"Hòn đảo Côn Đảo từng là một nhà tù khét tiếng thời Pháp thuộc, nay trở thành một điểm du lịch tâm linh và sinh thái."
103,"Sự sống đã tồn tại trên Trái Đất khoảng 3.7 tỷ năm, bắt đầu từ các sinh vật đơn bào."
104,"Một con ốc sên có tới bốn cái mũi, chúng dùng để ngửi và định vị môi trường xung quanh."
105,"Trên Sao Thổ, có những cơn bão lớn tạo ra sấm sét mạnh gấp 10.000 lần so với trên Trái Đất."
106,"Người ta ước tính có khoảng 8.7 triệu loài động thực vật trên Trái Đất, nhưng phần lớn vẫn chưa được khám phá."
107,"Môn cờ vây là một trong những trò chơi chiến thuật lâu đời nhất thế giới, có nguồn gốc từ Trung Quốc hơn 2500 năm trước."
108,"Các phi hành gia không thể khóc trong không gian vì nước mắt sẽ không rơi xuống mà chỉ tạo thành bóng nước quanh mắt."
109,"Làng gốm Bát Tràng ở Hà Nội nổi tiếng với nghề làm gốm sứ truyền thống có lịch sử hơn 1000 năm."
110,"Chùa Một Cột ở Hà Nội là một biểu tượng kiến trúc độc đáo, được xây dựng theo hình dáng một đóa hoa sen."
111,"Miền Bắc Việt Nam có mùa đông lạnh rõ rệt do ảnh hưởng của gió mùa Đông Bắc, trong khi miền Nam thì nóng ẩm quanh năm."
112,"Thác Bản Giốc ở Cao Bằng là một trong những thác nước tự nhiên lớn và đẹp nhất Việt Nam, giáp với Trung Quốc."
113,"Hát Xoan và Hát Quan họ là hai loại hình dân ca truyền thống của Việt Nam được UNESCO công nhận là Di sản Văn hóa Phi vật thể."
114,"Việt Nam là nước duy nhất trên thế giới có tên nước được viết hoa cả hai từ, tức là Việt Nam."
115,"Hươu cao cổ có một trái tim khổng lồ, nặng khoảng 11 kg, cần thiết để bơm máu lên não."
116,"Điện thoại di động có năng lượng tính toán mạnh hơn các máy tính được sử dụng trong tàu vũ trụ Apollo để đưa con người lên Mặt Trăng."
117,"Khoảng 70% bề mặt Trái Đất được bao phủ bởi nước, nhưng chỉ 1% trong số đó là nước ngọt có thể sử dụng."
118,"Cây đa là một loài cây có ý nghĩa tâm linh và lịch sử sâu sắc trong văn hóa và tín ngưỡng dân gian Việt Nam."
119,"Thành phố Hồ Chí Minh là trung tâm kinh tế lớn nhất Việt Nam, đóng góp khoảng 20% GDP cả nước."
120,"Chả giò, hay nem rán, là một món ăn truyền thống của Việt Nam, thường được ăn trong các bữa tiệc và dịp lễ."
121,"Tia sét có thể làm nóng không khí xung quanh nó đến 30.000 độ C, nóng hơn cả bề mặt Mặt Trời."
122,"Hổ Mèo là loài động vật ăn thịt lớn nhất trong họ nhà Mèo và là một trong những loài nguy cấp ở Việt Nam."
123,"Bộ phim đầu tiên được quay ở Việt Nam là Dấu Chấm Hết, sản xuất năm 1954."
124,"Một con bạch tuộc có ba trái tim. Hai trái tim bơm máu qua mang, còn một trái bơm máu đi khắp cơ thể."
125,"Năm 1994, Vịnh Hạ Long trở thành Di sản Thế giới đầu tiên của Việt Nam được UNESCO công nhận."
126,"Trong vật lý, Vạn Vật Hấp Dẫn là lực cơ bản yếu nhất, nhưng có tầm ảnh hưởng lớn nhất đối với các thiên thể."
127,"Văn Miếu - Quốc Tử Giám ở Hà Nội là trường đại học đầu tiên của Việt Nam, được thành lập từ thế kỷ 11."
128,"Quốc phục của người đàn ông Việt Nam truyền thống là áo the khăn xếp, thường được mặc trong các dịp lễ."
129,"Sân bay quốc tế Nội Bài, phục vụ Hà Nội, là một trong những cảng hàng không lớn nhất và bận rộn nhất Việt Nam."
130,"Cà phê sữa đá Việt Nam được pha bằng phin và thường có vị ngọt đậm đà từ sữa đặc có đường."
131,"Bóng bay bị bỏ rơi có thể bay xa tới 1.600 km, gây ra ô nhiễm môi trường nghiêm trọng khi rơi xuống."
132,"Có một loài nấm phát sáng trong bóng tối, được gọi là nấm ma, thường thấy ở các khu rừng nhiệt đới."
133,"Trong một chiếc điện thoại di động thông minh, có nhiều kim loại quý hiếm, bao gồm vàng, bạc, và palladium."
134,"Rừng Cúc Phương ở Ninh Bình là Vườn quốc gia đầu tiên và lớn nhất Việt Nam, bảo tồn hệ sinh thái rừng mưa nhiệt đới."
135,"Con mèo nhà đã được thuần hóa từ khoảng 9.500 năm trước ở Trung Đông, trước cả chó."
136,"Khoảng 1% người trên thế giới có khả năng nhìn thấy dải màu sắc rộng hơn, gọi là khả năng siêu thị giác."
137,"Đèo Mã Pí Lèng ở Hà Giang được mệnh danh là một trong Tứ Đại Đỉnh Đèo của Việt Nam, với cảnh quan hùng vĩ."
138,"Trăng tròn thực sự sáng hơn trăng bán nguyệt gấp 9 lần, do ánh sáng phản xạ từ Trái Đất."
139,"Thành phố Đà Lạt được người Pháp quy hoạch và xây dựng thành khu nghỉ dưỡng trên cao nguyên vào đầu thế kỷ 20."
140,"Việt Nam được xếp vào nhóm các quốc gia có sự đa dạng sinh học cao nhất trên thế giới."
141,"Món ăn Bánh xèo, giống như bánh crêpe mỏng, được làm từ bột gạo, nghệ và nhân tôm, thịt, giá đỗ."
142,"Trong Toán học, số Pi là một số vô tỉ, có giá trị xấp xỉ 3.14159, không bao giờ kết thúc và không lặp lại."
143,"Bia hơi Hà Nội là một loại bia tươi phổ biến, thường được uống trong các quán vỉa hè với giá thành rất phải chăng."
144,"Cá heo là một trong những loài động vật thông minh nhất thế giới, có khả năng học hỏi và nhận diện bản thân."
145,"Chợ Bến Thành ở TP. Hồ Chí Minh là một trong những biểu tượng lịch sử và thương mại quan trọng của thành phố."
146,"Hòn đảo lớn nhất trên thế giới là Greenland, thuộc Vương quốc Đan Mạch, nằm gần Bắc Cực."
147,"Món Canh Chua Cá là một đặc sản của miền Tây Nam Bộ, nổi tiếng với vị chua, cay, mặn, ngọt hài hòa."
148,"Hồ Tây ở Hà Nội là hồ tự nhiên lớn nhất trong nội thành, là nơi nghỉ dưỡng và giải trí nổi tiếng."
149,"Voi châu Phi là loài động vật trên cạn lớn nhất, nặng tới 6 tấn và có thể sống tới 70 năm."
150,"Trái Đất là hành tinh duy nhất trong Hệ Mặt Trời không được đặt tên theo một vị thần La Mã hoặc Hy Lạp."
151,"Cầu Vàng ở Đà Nẵng nổi tiếng với kiến trúc độc đáo, được nâng đỡ bởi hai bàn tay đá khổng lồ."
152,"Thành phố Hạ Long lấy tên từ Vịnh Hạ Long, có nghĩa là Rồng hạ cánh, gắn liền với truyền thuyết dân gian."
153,"Người Việt Nam có truyền thống tôn trọng và thờ cúng tổ tiên, thể hiện qua việc lập bàn thờ tại gia."
154,"Tuyến đường sắt Thống Nhất, hay còn gọi là Tàu Bắc Nam, là tuyến đường sắt quan trọng nhất Việt Nam, dài khoảng 1.726 km."
155,"Trong vật lý, lực hấp dẫn của Trái Đất làm cho không gian và thời gian cong lại, hiện tượng được gọi là độ cong không thời gian."
156,"Khỉ đột có thể học ngôn ngữ ký hiệu. Một con khỉ đột tên Koko đã học được hơn 1.000 từ."
157,"Lỗ tai của loài bọ chét nằm trên đầu gối của chúng, một vị trí rất đặc biệt trong thế giới côn trùng."
158,"Thành phố Hà Tĩnh nổi tiếng với ca dao, dân ca, đặc biệt là làn điệu Dân ca ví, giặm Nghệ Tĩnh."
159,"Trong Hóa học, vàng là một trong những kim loại kém hoạt động nhất, khiến nó không bị oxy hóa hay gỉ sét."
160,"Núi Bà Đen ở Tây Ninh là ngọn núi cao nhất miền Nam Việt Nam, nổi tiếng với quần thể chùa chiền và phong cảnh đẹp."
161,"Cà rốt ban đầu không phải có màu cam. Chúng có màu trắng, tím hoặc vàng trước thế kỷ 17."
162,"Trung bình mỗi người dành khoảng 2 tuần cuộc đời để hôn. Hôn giúp giảm căng thẳng và tăng cường gắn kết."
163,"Khoảng 99% vật chất trong Hệ Mặt Trời nằm ở Mặt Trời. Các hành tinh chỉ chiếm một phần rất nhỏ."
164,"Trong Sinh học, nấm không phải là thực vật cũng không phải là động vật, mà thuộc về một giới riêng biệt."
165,"Việt Nam là một trong những quốc gia có tỷ lệ sử dụng internet và mạng xã hội rất cao trên thế giới."
166,"Các làng nghề truyền thống như đúc đồng, làm chiếu, hoặc dệt lụa vẫn được duy trì và phát triển ở nhiều địa phương Việt Nam."
167,"Đà Lạt là nơi duy nhất ở Việt Nam trồng được nhiều loại rau và hoa ôn đới, nhờ vào độ cao và khí hậu mát mẻ."
168,"Dưa hấu được sử dụng như một loại thực phẩm cơ bản ở Ai Cập cổ đại. Chúng được đặt trong mộ để nuôi dưỡng người chết."
169,"Cơ bắp mạnh nhất trong cơ thể con người là cơ hàm, có thể tạo ra lực cắn lên đến 200 pounds."
170,"Chỉ có khoảng 2% dân số thế giới có màu mắt xanh lục, khiến nó trở thành màu mắt hiếm nhất."
171,"Hòn đảo nhỏ nhất thế giới có người sinh sống là Just Enough Room Island ở New York, chỉ có một ngôi nhà và một cái cây."
172,"Nghệ thuật ca trù, hay Hát Ca trù, là một loại hình âm nhạc thính phòng truyền thống của Việt Nam được UNESCO công nhận."
173,"Tà Áo Tứ Thân là trang phục truyền thống của phụ nữ miền Bắc, đặc trưng với bốn vạt áo và thắt lưng lụa."
174,"Việt Nam có 4 khu vực Di sản Thiên nhiên Thế giới và 5 khu vực Di sản Văn hóa Thế giới được UNESCO công nhận."
